first_name,last_name,full_name,team,year,player,position,r1_price,r2_price,r3_price,r4_price,r5_price,r6_price,r7_price,r8_price,r9_price,r10_price,r11_price,r12_price,r13_price,r14_price,r15_price,r16_price,r17_price,r18_price,r19_price,r20_price,r21_price,r22_price,r23_price,r1_score,r2_score,r3_score,r4_score,r5_score,r6_score,r7_score,r8_score,r9_score,r10_score,r11_score,r12_score,r13_score,r14_score,r15_score,r16_score,r17_score,r18_score,r19_score,r20_score,r21_score,r22_score,r23_score
Lachlan,Murphy,Lachlan Murphy,Adelaide,2018,Lachlan_Murphy_Adelaide_2018,DEF FWD,102400,102400,102400,153600,153600,153600,153600,153600,153600,198800,198800,208000,204800,204800,204800,204800,204800,212400,218600,234600,225600,228700,228700,32,80,63,0,0,0,0,0,51,0,26,42,0,0,0,0,74,28,68,28,50,0,0
Cillian,McDaid,Cillian McDaid,Carlton,2018,Cillian_McDaid_Carlton_2018,DEF,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Madgen,Jack Madgen,Collingwood,2018,Jack_Madgen_Collingwood_2018,MID,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,175500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,74,40,30
Brody,Mihocek,Brody Mihocek,Collingwood,2018,Brody_Mihocek_Collingwood_2018,DEF FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,162200,194600,222500,251000,284000,309300,308700,292600,302700,0,0,0,0,0,0,0,0,0,0,97,36,0,63,73,46,81,101,49,39,66,64,83
Luke,Lavender,Luke Lavender,Essendon,2018,Luke_Lavender_Essendon_2018,MID,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan,Giro,Stefan Giro,Fremantle,2018,Stefan_Giro_Fremantle_2018,MID FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,150000,150000,194600,218500,245000,249400,247300,247300,230200,214000,0,0,0,0,0,0,0,0,0,0,39,63,66,0,63,44,86,30,32,0,52,22,0
Jacob,Dawson,Jacob Dawson,Gold Coast,2018,Jacob_Dawson_Gold Coast_2018,MID,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,147200,147200,147200,0,0,0,0,0,0,0,0,0,0,0,0,0,51,59,0,0,0,0,54,0,0,0
Jacob,Heron,Jacob Heron,Gold Coast,2018,Jacob_Heron_Gold Coast_2018,DEF,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,131800,131800,131800,131800,131800,131800,155000,169700,180600,180600,197000,0,0,0,0,0,0,0,0,54,0,34,40,0,0,0,0,0,59,29,41,0,61,33
Nick,Holman,Nick Holman,Gold Coast,2018,Nick_Holman_Gold Coast_2018,MID FWD,102400,102400,102400,196100,237000,265500,263500,278500,271900,306600,306600,340600,367600,371200,353900,352700,334400,334400,334900,330400,318700,304700,287900,96,92,82,32,88,33,70,50,122,0,88,57,84,45,85,45,74,87,34,56,75,48,35
Jack,Buckley,Jack Buckley,Greater Western Sydney,2018,Jack_Buckley_Greater Western Sydney_2018,DEF MID,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changkuoth,Jiath,Changkuoth Jiath,Hawthorn,2018,Changkuoth_Jiath_Hawthorn_2018,MID FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Mirra,David Mirra,Hawthorn,2018,David_Mirra_Hawthorn_2018,DEF,102400,102400,102400,102400,102400,102400,165700,165700,165700,216500,266200,266200,266200,266200,266200,266200,266200,266200,266200,266200,266200,266200,288400,0,0,0,77,54,71,0,0,89,81,0,0,0,0,0,0,0,0,0,0,0,0,45
Derek,Eggmolesse-Smith,Derek Eggmolesse-Smith,Richmond,2018,Derek_Eggmolesse-Smith_Richmond_2018,FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Amartey,Joel Amartey,Sydney,2018,Joel_Amartey_Sydney_2018,DEF,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Bell,James Bell,Sydney,2018,James_Bell_Sydney_2018,FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Brown,Jake Brown,Sydney,2018,Jake_Brown_Sydney_2018,MID FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Johnson,Alex Johnson,Sydney,2018,Alex_Johnson_Sydney_2018,FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,14,0,0
