first_name,last_name,full_name,team,year,player,position,r1_price,r2_price,r3_price,r4_price,r5_price,r6_price,r7_price,r8_price,r9_price,r10_price,r11_price,r12_price,r13_price,r14_price,r15_price,r16_price,r17_price,r18_price,r19_price,r20_price,r21_price,r22_price,r23_price,r1_score,r2_score,r3_score,r4_score,r5_score,r6_score,r7_score,r8_score,r9_score,r10_score,r11_score,r12_score,r13_score,r14_score,r15_score,r16_score,r17_score,r18_score,r19_score,r20_score,r21_score,r22_score,r23_score
Stefan,Giro,Stefan Giro,Fremantle,2021,Stefan_Giro_Fremantle_2021,MID,123900,123900,123900,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,27,63,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan,Martin,Stefan Martin,Western Bulldogs,2021,Stefan_Martin_Western Bulldogs_2021,RUC,272200,272200,272200,279900,270300,270300,276500,284100,284100,284100,284100,284100,275200,275200,275200,275200,275200,275200,275200,275200,275200,275200,275200,94,35,48,59,0,66,57,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
Stefan,Okunbor,Stefan Okunbor,Geelong,2021,Stefan_Okunbor_Geelong_2021,DEF,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen,Coniglio,Stephen Coniglio,Greater Western Sydney,2021,Stephen_Coniglio_Greater Western Sydney_2021,MID,528900,528900,528900,477400,477400,477400,477400,477400,477400,477400,477400,477400,477400,477400,477400,477400,477400,477400,438500,438500,438500,438500,378500,88,80,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,14
Steven,May,Steven May,Melbourne,2021,Steven_May_Melbourne_2021,DEF,507900,507900,507900,498600,443400,443400,407200,408600,440900,464600,450200,444500,445900,463200,463200,485900,514300,525400,514300,477300,448400,443400,444900,117,82,78,7,0,94,145,77,95,72,90,106,111,0,107,131,92,67,62,90,105,0,81
Steven,Motlop,Steven Motlop,Port Adelaide,2021,Steven_Motlop_Port Adelaide_2021,FWD,308500,308500,308500,322200,319800,298900,312200,323600,335800,334300,327200,320500,320500,303600,321300,334900,368400,368700,368700,368700,368700,368700,357100,92,100,20,63,57,86,69,65,63,55,63,0,36,117,67,88,64,0,0,0,0,0,48
Sydney,Stack,Sydney Stack,Richmond,2021,Sydney_Stack_Richmond_2021,MID FWD,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,277600,273000,313200,358300,389500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,45,60,149,81,79,64
Taj,Schofield,Taj Schofield,Port Adelaide,2021,Taj_Schofield_Port Adelaide_2021,MID,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner,Bruhn,Tanner Bruhn,Greater Western Sydney,2021,Tanner_Bruhn_Greater Western Sydney_2021,MID,157800,157800,157800,157800,157800,157800,155700,155700,155900,161600,161600,161600,161600,161600,161600,161600,161600,161600,188900,209200,215400,231700,273600,48,32,0,0,0,8,0,53,45,0,0,0,0,0,0,0,0,61,52,26,88,69,50
Tariek,Newchurch,Tariek Newchurch,Adelaide,2021,Tariek_Newchurch_Adelaide_2021,MID FWD,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarryn,Thomas,Tarryn Thomas,North Melbourne,2021,Tarryn_Thomas_North Melbourne_2021,FWD,290100,290100,290100,285200,282100,287800,308800,320700,334600,350200,381600,413800,413800,430000,437400,423900,422800,415900,432800,463900,463900,490900,492000,74,43,42,75,61,81,69,72,94,114,94,0,77,95,55,96,84,108,135,0,96,68,139
Taylin,Duman,Taylin Duman,Fremantle,2021,Taylin_Duman_Fremantle_2021,DEF,354600,354600,354600,354600,354600,354600,354600,354600,354600,333600,333600,320000,317500,324300,324300,324300,324300,324300,324300,324300,324300,324300,324300,0,0,0,0,0,0,43,51,70,0,48,67,91,0,0,0,0,0,0,0,0,0,0
Taylor,Adams,Taylor Adams,Collingwood,2021,Taylor_Adams_Collingwood_2021,MID,588800,588800,588800,536400,506800,506800,506800,506800,506800,506800,470700,470700,470700,470700,470700,464900,483300,516600,526200,519600,504700,498000,507600,42,119,66,62,0,0,0,0,0,92,0,0,0,0,110,112,140,80,77,119,91,116,103
Taylor,Duryea,Taylor Duryea,Western Bulldogs,2021,Taylor_Duryea_Western Bulldogs_2021,DEF FWD,342200,342200,342200,367000,375100,374000,380200,369300,359900,356100,365300,354300,357300,357300,379400,412800,412300,394900,368100,355600,355600,358400,371900,88,106,63,64,90,80,32,86,88,59,47,112,0,98,89,54,62,60,68,0,91,77,69
Taylor,Garner,Taylor Garner,North Melbourne,2021,Taylor_Garner_North Melbourne_2021,FWD,267400,267400,267400,267400,267400,267400,267400,267400,267400,267400,267400,287900,287900,285400,285400,285400,285400,285400,285400,285400,285400,285400,285400,0,0,0,0,0,0,0,0,73,78,56,0,33,0,0,0,0,0,0,0,0,0,0
Taylor,Walker,Taylor Walker,Adelaide,2021,Taylor_Walker_Adelaide_2021,FWD,298200,298200,298200,406100,468700,489300,491900,464000,419200,419200,385000,383400,421000,418500,418500,423100,401000,401000,391900,372000,349100,349100,349100,146,143,130,106,85,103,42,29,0,101,97,116,34,0,107,57,0,56,74,40,0,0,0
Thomas,Joyce,Thomas Joyce,Brisbane Lions,2021,Thomas_Joyce_Brisbane Lions_2021,FWD MID,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomson,Dow,Thomson Dow,Richmond,2021,Thomson_Dow_Richmond_2021,MID,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,146100,156500,203400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,0,0,0,71,52,40
